2019-05-15 14:06:38 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2019-05-15 14:06:38 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2019-05-15 14:06:38 install libext2fs2:amd64 <none> 1.44.1-1
2019-05-15 14:06:38 status half-installed libext2fs2:amd64 1.44.1-1
2019-05-15 14:06:38 status unpacked libext2fs2:amd64 1.44.1-1
2019-05-15 14:06:38 status unpacked libext2fs2:amd64 1.44.1-1
2019-05-15 14:06:38 install libfdisk1:amd64 <none> 2.31.1-0.4ubuntu3
2019-05-15 14:06:38 status half-installed libfdisk1:amd64 2.31.1-0.4ubuntu3
2019-05-15 14:06:38 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2019-05-15 14:06:38 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2019-05-15 14:06:38 install libgcc1:amd64 <none> 1:8-20180414-1ubuntu2
2019-05-15 14:06:38 status half-installed libgcc1:amd64 1:8-20180414-1ubuntu2
2019-05-15 14:06:38 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2019-05-15 14:06:38 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2019-05-15 14:06:38 install libgcrypt20:amd64 <none> 1.8.1-4ubuntu1
2019-05-15 14:06:38 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1
2019-05-15 14:06:38 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2019-05-15 14:06:38 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2019-05-15 14:06:38 install libgpg-error0:amd64 <none> 1.27-6
2019-05-15 14:06:38 status half-installed libgpg-error0:amd64 1.27-6
2019-05-15 14:06:38 status unpacked libgpg-error0:amd64 1.27-6
2019-05-15 14:06:38 status unpacked libgpg-error0:amd64 1.27-6
2019-05-15 14:06:38 install liblz4-1:amd64 <none> 0.0~r131-2ubuntu3
2019-05-15 14:06:38 status half-installed liblz4-1:amd64 0.0~r131-2ubuntu3
2019-05-15 14:06:38 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
